Data Type,Name,Label,Data Type,Vocabulary,FileName
OccPermFD,ActCode,Action Code,String,Permit Action Codes,occupancy-permits-field-definitions.xlsx
OccPermFD,ActDate,Action Date,Date,,occupancy-permits-field-definitions.xlsx
OccPermFD,ActInit,Action Initials,String,,occupancy-permits-field-definitions.xlsx
OccPermFD,AddrAdjusted,Address Adjusted,Boolean,,occupancy-permits-field-definitions.xlsx
OccPermFD,AddrNum,Address Number,Integer,,occupancy-permits-field-definitions.xlsx
OccPermFD,AddrSuf,Address Suffix,String,,occupancy-permits-field-definitions.xlsx
OccPermFD,AppDate,Application Date,Date,,occupancy-permits-field-definitions.xlsx
OccPermFD,AppDescription,Application Description,String,,occupancy-permits-field-definitions.xlsx
OccPermFD,AppNum,Application Number,Integer,,occupancy-permits-field-definitions.xlsx
OccPermFD,AppNum,Application Number,Integer,,occupancy-permits-field-definitions.xlsx
OccPermFD,AppSource,Application Source,Integer,,occupancy-permits-field-definitions.xlsx
OccPermFD,AppType,Application Type,String,Permit Application Type,occupancy-permits-field-definitions.xlsx
OccPermFD,AppType,Application Type,String,Permit Application Type,occupancy-permits-field-definitions.xlsx
OccPermFD,AsrNbrhd,Assessor Neighborhood,Integer,,occupancy-permits-field-definitions.xlsx
OccPermFD,CancelDate,Canceled Date,Date,,occupancy-permits-field-definitions.xlsx
OccPermFD,CancelType,Cancel Type,String,,occupancy-permits-field-definitions.xlsx
OccPermFD,CDADist,CDA District,Integer,,occupancy-permits-field-definitions.xlsx
OccPermFD,CDASubDist,CDA Sub District,Integer,,occupancy-permits-field-definitions.xlsx
OccPermFD,CensBlock00,2000 Census Block,Decimal,,occupancy-permits-field-definitions.xlsx
OccPermFD,CensGroup10,2010 Census Group,Integer,,occupancy-permits-field-definitions.xlsx
OccPermFD,CensTract10,2010 Census Tract,Decimal,,occupancy-permits-field-definitions.xlsx
OccPermFD,CityBlock,City Block,Decimal,,occupancy-permits-field-definitions.xlsx
OccPermFD,CompleteDate,Completed Date,Date,,occupancy-permits-field-definitions.xlsx
OccPermFD,CorrAddr,Correspondent Address,String,,occupancy-permits-field-definitions.xlsx
OccPermFD,CorrCity,Correspondent City,String,,occupancy-permits-field-definitions.xlsx
