Index,City Source,Link Name,File Name,Access Process,Additional Files,Direct URL,Login Info,File Size (Bytes),File Size (KB),File Name,DB Type,Priority,Job Order,Include,# Tables,# Fields,# Records,# Cells,Listed Up. Date,File Modified,Days Old,Date Dif,Newest Record,Main Type,Parcel-11,Parcel-9,Handle,Nickname,Notes,In Progress,Doc. Complete
1,Parcel Data,Parcels (MDB),prcl.zip ,Unzip,none,https://www.stlouis-mo.gov/data/upload/data-files/prcl.zip ,Public,"500,916,224","500,916 KB",prcl.mdb,Access,#1 - Main Data,1,TRUE,14,348,"2,211,030","69,830,907",10/9/19,10/9/19,13,0,,data,TRUE,TRUE,TRUE,Parcel Database,Parcel Data,TRUE,TRUE
13,Buil Permit Data,Codes,codes.zip,"Unzip, Select, Second Unzip",5,https://www.stlouis-mo.gov/data/upload/data-files/codes.zip,Public,"207,171",207 KB,PrclCode.mdb,Access,#2 - Critical,2,TRUE,45,106,"5,649","29,449",2/7/18,5/28/13,"2,338","1,716",,CODES,FALSE,FALSE,FALSE,Parcel Codes,Parcel Coding Info [45 tables],TRUE,TRUE
14,Buil Permit Data,Codes,codes.zip ,"Unzip, Select, Second Unzip",5,https://www.stlouis-mo.gov/data/upload/data-files/codes.zip ,Public,"45,524",46 KB,corcode.mdb,Access,#2 - Critical,3,TRUE,28,101,"1,165","9,050",2/7/18,5/28/13,"2,338","1,716",,CODES,FALSE,FALSE,FALSE,Core Codes,"Various ""Core"" Codes [28]",TRUE,TRUE
15,Buil Permit Data,Codes,codes.zip ,"Unzip, Select, Second Unzip",5,https://www.stlouis-mo.gov/data/upload/data-files/codes.zip ,Public,"12,955",13 KB,bincode.mdb,Access,#2 - Critical,4,TRUE,8,17,56,121,2/7/18,5/28/13,"2,338","1,716",,CODES,FALSE,FALSE,FALSE,Building Insp Codes,All Building Inspection Codes,TRUE,TRUE
17,Buil Permit Data,Codes,codes.zip ,"Unzip, Select, Second Unzip",5,https://www.stlouis-mo.gov/data/upload/data-files/codes.zip ,Public,"8,788",9 KB,cndcode.mdb,Access,#2 - Critical,5,TRUE,3,6,20,120,2/7/18,5/28/13,"2,338","1,716",,CODES,FALSE,FALSE,FALSE,Condemned Codes,All Condemnation Codes,TRUE,TRUE
12,"Buil, Dem, Occ","Electrical, mechanical, and plumbing permits",prmemp.zip ,"Unzip, Select",1,https://www.stlouis-mo.gov/data/upload/data-files/prmemp.zip ,Public,"491,520",492 KB,prmcode.mdb,Access,#2 - Critical,6,TRUE,13,30,415,"1,202",10/9/19,6/11/19,133,120,,CODES,FALSE,FALSE,FALSE,Permit Codes,All Permit Codes,TRUE,TRUE
3,"Elec, Mech, Plum","Electrical, mechanical, and plumbing permits",prmemp.zip ,"Unzip, Select",1,https://www.stlouis-mo.gov/data/upload/data-files/prmemp.zip ,Public,"215,900,160","215,900 KB",prmemp.mdb,Access,#3 - Important,7,TRUE,4,206,"468,311","31,147,490",10/9/19,10/8/19,14,1,,data,TRUE,TRUE,TRUE,"E,M,P Permits",3 Permit Tables,TRUE,TRUE
4,"Buil, Dem, Occ","Building, demolition, and occupancy permits",prmbdo.zip ,"Unzip, Select",1,https://www.stlouis-mo.gov/data/upload/data-files/prmbdo.zip ,Public,"174,063,616","174,064 KB",prmbdo.mdb,Access,#3 - Important,8,TRUE,5,320,"252,207","20,860,262",10/9/19,10/8/19,14,1,,data,TRUE,TRUE,TRUE,"B, D, O Permits",3 More Permit Tables,TRUE,TRUE
5,"Insp, Con, Vac","Building inspections, condemnations, and vacant buildings",bldginsp.zip ,Unzip,none,https://www.stlouis-mo.gov/data/upload/data-files/bldginsp.zip ,Public,"170,037,248","170,037 KB",bldinsp.mdb,Access,#3 - Important,9,TRUE,8,223,"479,524","27,458,403",10/9/19,10/8/19,14,1,,data,TRUE,TRUE,TRUE,"I, C, V Records",Building Inspections,TRUE,TRUE
7,Conservation,Housing Conservation Inspections,hcd.zip ,Unzip,none,https://www.stlouis-mo.gov/data/upload/data-files/hcd.zip ,Public,"71,548,928","71,549 KB",hcd.mdb,Access,#3 - Important,10,TRUE,2,65,"154,350","9,723,989",10/9/19,10/7/19,15,2,9/4/2019,data,TRUE,TRUE,TRUE,Conserv Insp,Housing Conservation,TRUE,TRUE
